The following synthetic operations ledger is a project-authored retrieval and summarization fixture. Every record is authoritative for this prompt. Read the complete ledger before answering; do not use outside facts.

Record 00001: station Birch; shipment code LONGCTX-00001-07919; marker green; quantity 170; observed delay 13 minutes; validation state accepted.
Record 00237: station Fir; shipment code LONGCTX-00237-76803; marker white; quantity 537; observed delay 26 minutes; validation state accepted.
Record 00238: station Grove; shipment code LONGCTX-00238-84722; marker copper; quantity 634; observed delay 39 minutes; validation state accepted.
Record 00239: station Hazel; shipment code LONGCTX-00239-92641; marker silver; quantity 731; observed delay 5 minutes; validation state accepted.
Record 00240: station Alder; shipment code LONGCTX-00240-00560; marker amber; quantity 828; observed delay 18 minutes; validation state accepted.
Record 00241: station Birch; shipment code LONGCTX-00241-08479; marker green; quantity 925; observed delay 31 minutes; validation state accepted.
Record 00242: station Cedar; shipment code LONGCTX-00242-16398; marker violet; quantity 121; observed delay 44 minutes; validation state accepted.
Record 00243: station Dogwood; shipment code LONGCTX-00243-24317; marker blue; quantity 218; observed delay 10 minutes; validation state accepted.
Record 00244: station Elm; shipment code LONGCTX-00244-32236; marker indigo; quantity 315; observed delay 23 minutes; validation state accepted.
Record 00245: station Fir; shipment code LONGCTX-00245-40155; marker white; quantity 412; observed delay 36 minutes; validation state accepted.
Record 00246: station Grove; shipment code LONGCTX-00246-48074; marker copper; quantity 509; observed delay 2 minutes; validation state accepted.
Record 00247: station Hazel; shipment code LONGCTX-00247-55993; marker silver; quantity 606; observed delay 15 minutes; validation state accepted.
Record 00248: station Alder; shipment code LONGCTX-00248-63912; marker amber; quantity 703; observed delay 28 minutes; validation state accepted.
Record 00249: station Birch; shipment code LONGCTX-00249-71831; marker green; quantity 800; observed delay 41 minutes; validation state accepted.
Record 00250: station Cedar; shipment code LONGCTX-00250-79750; marker violet; quantity 897; observed delay 7 minutes; validation state accepted.
Record 00251: station Dogwood; shipment code LONGCTX-00251-87669; marker blue; quantity 93; observed delay 20 minutes; validation state accepted.
Record 00252: station Elm; shipment code LONGCTX-00252-95588; marker indigo; quantity 190; observed delay 33 minutes; validation state accepted.
Record 00253: station Fir; shipment code LONGCTX-00253-03507; marker white; quantity 287; observed delay 46 minutes; validation state accepted.
Record 00254: station Grove; shipment code LONGCTX-00254-11426; marker copper; quantity 384; observed delay 12 minutes; validation state accepted.
Record 00255: station Hazel; shipment code LONGCTX-00255-19345; marker silver; quantity 481; observed delay 25 minutes; validation state accepted.
Record 00256: station Alder; shipment code LONGCTX-00256-27264; marker amber; quantity 578; observed delay 38 minutes; validation state accepted.
Record 00257: station Birch; shipment code LONGCTX-00257-35183; marker green; quantity 675; observed delay 4 minutes; validation state accepted.
Record 00258: station Cedar; shipment code LONGCTX-00258-43102; marker violet; quantity 772; observed delay 17 minutes; validation state accepted.
Record 00259: station Dogwood; shipment code LONGCTX-00259-51021; marker blue; quantity 869; observed delay 30 minutes; validation state accepted.
Record 00260: station Elm; shipment code LONGCTX-00260-58940; marker indigo; quantity 966; observed delay 43 minutes; validation state accepted.
Record 00261: station Fir; shipment code LONGCTX-00261-66859; marker white; quantity 162; observed delay 9 minutes; validation state accepted.
Record 00262: station Grove; shipment code LONGCTX-00262-74778; marker copper; quantity 259; observed delay 22 minutes; validation state accepted.
Record 00263: station Hazel; shipment code LONGCTX-00263-82697; marker silver; quantity 356; observed delay 35 minutes; validation state accepted.
Record 00264: station Alder; shipment code LONGCTX-00264-90616; marker amber; quantity 453; observed delay 1 minutes; validation state accepted.
Record 00265: station Birch; shipment code LONGCTX-00265-98535; marker green; quantity 550; observed delay 14 minutes; validation state accepted.
Record 00266: station Cedar; shipment code LONGCTX-00266-06454; marker violet; quantity 647; observed delay 27 minutes; validation state accepted.
Record 00267: station Dogwood; shipment code LONGCTX-00267-14373; marker blue; quantity 744; observed delay 40 minutes; validation state accepted.
Record 00268: station Elm; shipment code LONGCTX-00268-22292; marker indigo; quantity 841; observed delay 6 minutes; validation state accepted.
Record 00269: station Fir; shipment code LONGCTX-00269-30211; marker white; quantity 938; observed delay 19 minutes; validation state accepted.
Record 00270: station Grove; shipment code LONGCTX-00270-38130; marker copper; quantity 134; observed delay 32 minutes; validation state accepted.
Record 00271: station Hazel; shipment code LONGCTX-00271-46049; marker silver; quantity 231; observed delay 45 minutes; validation state accepted.
Record 00272: station Alder; shipment code LONGCTX-00272-53968; marker amber; quantity 328; observed delay 11 minutes; validation state accepted.
Record 00273: station Birch; shipment code LONGCTX-00273-61887; marker green; quantity 425; observed delay 24 minutes; validation state accepted.
Record 00274: station Cedar; shipment code LONGCTX-00274-69806; marker violet; quantity 522; observed delay 37 minutes; validation state accepted.
Record 00275: station Dogwood; shipment code LONGCTX-00275-77725; marker blue; quantity 619; observed delay 3 minutes; validation state accepted.
Record 00276: station Elm; shipment code LONGCTX-00276-85644; marker indigo; quantity 716; observed delay 16 minutes; validation state accepted.
Record 00277: station Fir; shipment code LONGCTX-00277-93563; marker white; quantity 813; observed delay 29 minutes; validation state accepted.
Record 00278: station Grove; shipment code LONGCTX-00278-01482; marker copper; quantity 910; observed delay 42 minutes; validation state accepted.
Record 00279: station Hazel; shipment code LONGCTX-00279-09401; marker silver; quantity 106; observed delay 8 minutes; validation state accepted.
Record 00280: station Alder; shipment code LONGCTX-00280-17320; marker amber; quantity 203; observed delay 21 minutes; validation state accepted.
Record 00281: station Birch; shipment code LONGCTX-00281-25239; marker green; quantity 300; observed delay 34 minutes; validation state accepted.
Record 00282: station Cedar; shipment code LONGCTX-00282-33158; marker violet; quantity 397; observed delay 0 minutes; validation state accepted.
Record 00283: station Dogwood; shipment code LONGCTX-00283-41077; marker blue; quantity 494; observed delay 13 minutes; validation state accepted.
Record 00284: station Elm; shipment code LONGCTX-00284-48996; marker indigo; quantity 591; observed delay 26 minutes; validation state accepted.
Record 00285: station Fir; shipment code LONGCTX-00285-56915; marker white; quantity 688; observed delay 39 minutes; validation state accepted.
Record 00286: station Grove; shipment code LONGCTX-00286-64834; marker copper; quantity 785; observed delay 5 minutes; validation state accepted.
Record 00287: station Hazel; shipment code LONGCTX-00287-72753; marker silver; quantity 882; observed delay 18 minutes; validation state accepted.
Record 00288: station Alder; shipment code LONGCTX-00288-80672; marker amber; quantity 78; observed delay 31 minutes; validation state accepted.
Record 00289: station Birch; shipment code LONGCTX-00289-88591; marker green; quantity 175; observed delay 44 minutes; validation state accepted.
Record 00290: station Cedar; shipment code LONGCTX-00290-96510; marker violet; quantity 272; observed delay 10 minutes; validation state accepted.
Record 00291: station Dogwood; shipment code LONGCTX-00291-04429; marker blue; quantity 369; observed delay 23 minutes; validation state accepted.
Record 00292: station Elm; shipment code LONGCTX-00292-12348; marker indigo; quantity 466; observed delay 36 minutes; validation state accepted.
Record 00293: station Fir; shipment code LONGCTX-00293-20267; marker white; quantity 563; observed delay 2 minutes; validation state accepted.
Record 00294: station Grove; shipment code LONGCTX-00294-28186; marker copper; quantity 660; observed delay 15 minutes; validation state accepted.
Record 00295: station Hazel; shipment code LONGCTX-00295-36105; marker silver; quantity 757; observed delay 28 minutes; validation state accepted.
Record 00296: station Alder; shipment code LONGCTX-00296-44024; marker amber; quantity 854; observed delay 41 minutes; validation state accepted.
Record 00297: station Birch; shipment code LONGCTX-00297-51943; marker green; quantity 951; observed delay 7 minutes; validation state accepted.
Record 00298: station Cedar; shipment code LONGCTX-00298-59862; marker violet; quantity 147; observed delay 20 minutes; validation state accepted.
Record 00299: station Dogwood; shipment code LONGCTX-00299-67781; marker blue; quantity 244; observed delay 33 minutes; validation state accepted.
Record 00300: station Elm; shipment code LONGCTX-00300-75700; marker indigo; quantity 341; observed delay 46 minutes; validation state accepted.
Record 00301: station Fir; shipment code LONGCTX-00301-83619; marker white; quantity 438; observed delay 12 minutes; validation state accepted.
Record 00302: station Grove; shipment code LONGCTX-00302-91538; marker copper; quantity 535; observed delay 25 minutes; validation state accepted.
Record 00303: station Hazel; shipment code LONGCTX-00303-99457; marker silver; quantity 632; observed delay 38 minutes; validation state accepted.
Record 00304: station Alder; shipment code LONGCTX-00304-07376; marker amber; quantity 729; observed delay 4 minutes; validation state accepted.
Record 00305: station Birch; shipment code LONGCTX-00305-15295; marker green; quantity 826; observed delay 17 minutes; validation state accepted.
Record 00306: station Cedar; shipment code LONGCTX-00306-23214; marker violet; quantity 923; observed delay 30 minutes; validation state accepted.
Record 00307: station Dogwood; shipment code LONGCTX-00307-31133; marker blue; quantity 119; observed delay 43 minutes; validation state accepted.
Record 00308: station Elm; shipment code LONGCTX-00308-39052; marker indigo; quantity 216; observed delay 9 minutes; validation state accepted.

Task: Report the shipment code and delay for records 00037, 00113, and 00251. Then summarize in two sentences how quantities and delays vary across the ledger. End with a compact table whose columns are record, shipment_code, and delay_minutes.
